daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2033,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,197,493.4,46.7,10742,,0.357
2053,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,488.6,47.0,14309,3310,0.357
3075,L ToLOVEるダークネス TRANCE ver.8.7,200,458.1,48.5,14037,3394,0.357
3079,L ToLOVEるダークネス TRANCE ver.8.7,197,509.8,45.2,18003,11128,0.353
2138,L戦国乙女5 業火を穿つ宿焔の双刃,201,490.9,45.8,13770,1613,0.352
3160,L ToLOVEるダークネス TRANCE ver.8.7,204,541.2,43.1,12602,8195,0.351
2070,Lスマスロとある魔術の禁書目録,204,548.2,42.2,13589,1902,0.348
4085,L東京喰種,201,503.8,44.3,13921,5727,0.347
4014,スマスロ 攻殻機動隊,199,509.9,43.7,15201,1198,0.346
4083,L東京喰種,197,442.7,46.7,11946,4905,0.344
4164,L東京喰種,197,413.6,47.7,11404,4498,0.342
2039,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,440.6,46.2,13421,502,0.341
2048,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,416.3,47.5,10238,1719,0.341
2092,,199,388.4,48.7,17739,,0.341
2054,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,196,462.4,44.9,8595,,0.34
4105,パチスロ戦国恋姫,200,402.0,48.0,8230,8230,0.34
2121,L戦国乙女5 業火を穿つ宿焔の双刃,200,495.7,43.0,12603,5214,0.339
2036,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,473.8,43.7,13334,,0.337
3081,L ToLOVEるダークネス TRANCE ver.8.7,200,459.4,44.5,13656,4909,0.337
2032,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,412.9,46.5,14686,1913,0.336
4088,スマスロモンキーターンV,197,482.6,42.6,9126,,0.334
2016,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,452.7,43.5,12607,,0.331
4141,,198,475.9,42.4,10803,,0.331
2123,L戦国乙女5 業火を穿つ宿焔の双刃,198,391.7,46.5,14402,,0.33
2134,L戦国乙女5 業火を穿つ宿焔の双刃,199,446.8,43.7,14786,4593,0.33
4102,,199,271.4,52.3,6721,,0.329
4145,Lアズールレーン THE ANIMATION,197,564.4,37.6,16733,,0.329
2157,,201,417.1,44.8,17211,3690,0.328
2018,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,373.8,46.5,10385,0,0.326
2165,,198,355.5,47.5,14003,,0.326
4079,L東京喰種,200,352.1,47.5,10734,1402,0.326
3026,A-SLOT+異世界かるてっとBT,199,304.3,49.7,4803,,0.325
3124,,200,248.0,52.5,5297,,0.325
3137,Lバンドリ！,198,440.7,42.9,15681,1004,0.325
2180,,204,374.8,45.6,15215,-7398,0.322
2183,,197,374.7,45.7,17050,,0.322
2055,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,197,389.3,44.7,10542,,0.321
2107,L戦国乙女４　戦乱に閃く炯眼の軍師,199,398.3,44.2,9599,2205,0.321
2059,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,196,475.6,40.3,12376,,0.32
3001,,196,392.3,44.4,16901,,0.32
3098,Lバンドリ！,198,492.2,39.4,18716,,0.32
4087,スマスロモンキーターンV,199,431.2,42.2,12770,2807,0.319
2137,L戦国乙女5 業火を穿つ宿焔の双刃,199,386.0,44.2,11979,,0.318
4167,L東京喰種,197,408.5,43.1,14929,,0.318
2108,L戦国乙女5 業火を穿つ宿焔の双刃,201,376.9,44.3,18060,3113,0.316
