日付タイプ,model,延べ台日,平均差枚,勝率%
曜:水,Lラブ嬢3～Wご指名はいかがですか?～,28,-325.6,32.1
曜:水,スマスロ やじきた道中記参る！,16,-207.2,31.2
曜:水,スマスロ 東京リベンジャーズ,42,-203.3,31.0
曜:水,キングハナハナ-30,140,-102.9,30.7
曜:水,スロット ソードアート・オンラインⅡ,92,-425.9,30.4
曜:水,スマスロ北斗の拳 転生の章2,172,2.0,30.2
曜:水,スマスロ とある魔術の禁書目録2,20,-1284.8,30.0
曜:水,Lスマスロ北斗の拳,88,-110.1,29.5
曜:水,戦国コレクション6,24,-583.8,29.2
曜:水,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,50,224.1,28.0
曜:水,スマスロ化物語,66,36.0,27.3
曜:水,いざ！番長,42,120.1,26.2
曜:水,スマスロ モンスターハンターライズ,42,6.6,26.2
曜:水,Lパチスロ革命機ヴァルヴレイヴ2,48,-77.6,25.0
曜:水,スマスロ鉄拳6,8,714.5,25.0
曜:水,スマスロBIRDIE WING-Golf Girls’ Story-,12,-420.2,25.0
曜:水,チバリヨ2,42,-333.7,23.8
曜:水,Lアズールレーン THE ANIMATION,38,19.7,23.7
曜:水,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,84,-212.1,21.4
曜:水,真打 吉宗,84,-664.1,21.4
曜:水,L南国育ち SPECIAL,24,-644.4,20.8
曜:水,スマスロ ミリオンゴッド-神々の軌跡-,140,-597.6,20.7
曜:水,L戦国乙女４　戦乱に閃く炯眼の軍師,50,154.7,20.0
曜:水,L主役は銭形5,30,-197.7,20.0
曜:水,スマスロ スーパーリオエース2,54,-253.4,18.5
曜:水,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,22,111.5,18.2
曜:水,Lパチスロ かぐや様は告らせたい,28,-150.1,17.9
曜:水,スマスロヨルムンガンド,12,278.2,16.7
曜:水,Lパチスロからくりサーカス,18,-357.2,16.7
曜:水,スマスロ シャーマンキング,18,-174.4,16.7
曜:水,スマスロ スーパーブラックジャック,28,-269.9,14.3
曜:水,スマスロ バイオハザードRE:3,54,-191.0,13.0
曜:水,ローティス,8,-997.5,12.5
曜:水,プリズムナナ,10,-157.6,10.0
